股票代號,股票名稱,年度,季度,資產總額(百萬元),負債總額(百萬元),權益總額(百萬元),每股參考淨值,單季EPS,單季營收(百萬元),單季毛利率(%),單季營業利益率(%),單季稅後純益率(%),營收年增率(%),每股盈餘年增率(%),ROE(%),ROE年增率(%),毛利率季增率(%),營業利益年增率(%),稅後純益年增率(%),負債佔資產比(%)
2433,互盛電,108,3,8284.78,3453.85,4830.93,29.22,1.89,1082.65,30.4,11.44,25.77,4.89,5.59,5.83,0.8699999999999999,-6.75,22.7,7.140000000000001,41.69
2434,統懋,106,4,1012.96,452.42,560.54,7.94,-0.73,77.11000000000003,-73.39,-62.519999999999996,-66.86,NA,NA,-8.72,NA,NA,NA,NA,44.66
2434,統懋,107,1,1021.5,487.71,533.79,7.56,-0.39,87.03,-21.01,-36.28,-31.740000000000002,NA,NA,-5.050000000000001,NA,71.37,NA,NA,47.74
2434,統懋,107,2,986.32,500.05,486.27,6.89,-0.67,86.53,-31.94,-54.230000000000004,-54.65,NA,NA,-9.27,NA,-52.019999999999996,NA,NA,50.7
2434,統懋,107,3,949.5,507.03,442.47,6.27,-0.5799999999999998,70.45,-20.43,-43.5,-58.160000000000004,NA,NA,-8.82,NA,36.04,NA,NA,53.400000000000006
2434,統懋,107,4,870.81,485.79,385.02,5.45,-0.9200000000000002,60.69,-76.23,-105.88,-106.83,-21.29,-26.029999999999998,-15.67,-79.7,-273.13,-33.29,-25.759999999999998,55.78999999999999
2434,統懋,108,1,815.87,462.43,353.45,5.01,-0.46,39.95,-39.1,-83.03,-82.0,-54.1,-17.95,-8.870000000000001,-75.64,48.71,-5.050000000000001,-18.59,56.68
2434,統懋,108,2,812.98,513.66,299.32,4.24,-0.74,46.79,-71.99,-105.85,-110.66,-45.93,-10.45,-15.86,-71.09,-84.11999999999999,-5.54,-9.49,63.18
2434,統懋,108,3,725.6,497.22,228.38,3.23,-0.9400000000000002,39.11,-96.48,-160.69,-169.28,-44.49,-62.07,-25.09,-184.47,-34.02,-105.07,-61.58,68.52000000000001
2436,偉詮電,106,4,4252.71,958.5,3294.22,14.77,0.26,640.17,25.81,5.390000000000001,8.83,NA,NA,1.7399999999999998,NA,NA,NA,NA,22.54
2436,偉詮電,107,1,4399.85,1059.12,3340.73,14.98,0.2,590.03,23.09,4.2,7.449999999999999,NA,NA,1.3299999999999998,NA,-10.54,NA,NA,24.07
2436,偉詮電,107,2,4612.87,1258.91,3353.97,15.05,0.6499999999999999,667.64,24.48,4.03,21.8,NA,NA,4.35,NA,6.02,NA,NA,27.29
2436,偉詮電,107,3,4130.5,1168.21,2962.29,16.61,0.2899999999999999,691.3,26.169999999999998,9.1,7.8,NA,NA,1.71,NA,6.9,NA,NA,28.28
